City,State,Country,Estimate (low),Estimate (high),Average,city_state_country,lat,lon
Abilene,TX,US,200,200,200.0,"Abilene, TX, US",32.4487364,-99.73314390000002
Accident,MD,US,54,54,54.0,"Accident, MD, US",39.628696,-79.31975899999999
Adak,AK,US,10,10,10.0,"Adak, AK, US",51.88,-176.6580556
Adrian,MI,US,NA,NA,NA,"Adrian, MI, US",41.8975471,-84.03716589999999
Ajo,AZ,US,NA,NA,NA,"Ajo, AZ, US",32.3717248,-112.8607099
Alamosa,CO,US,350,350,350.0,"Alamosa, CO, US",37.4694491,-105.8700214
Albany,CA,US,NA,NA,NA,"Albany, CA, US",37.88687,-122.2977475
Albany,NY,US,7000,9000,8e3,"Albany, NY, US",42.6525793,-73.7562317
Albuquerque,NM,US,3000,20000,11500.0,"Albuquerque, NM, US",35.0853336,-106.6055534
Alpine,TX,US,96,96,96.0,"Alpine, TX, US",30.3584919,-103.6610115
Amarillo,TX,US,600,600,600.0,"Amarillo, TX, US",35.2219971,-101.8312969
Amelia Island,FL,US,700,700,700.0,"Amelia Island, FL, US",30.6265697,-81.46085599999999
Anacortes,WA,US,NA,NA,NA,"Anacortes, WA, US",48.51260449999999,-122.6126718
Anchorage,AK,US,2000,3000,2500.0,"Anchorage, AK, US",61.2180556,-149.9002778
Ann Arbor,MI,US,11000,11000,11e3,"Ann Arbor, MI, US",42.2808256,-83.7430378
Annapolis,MD,US,1600,1600,1600.0,"Annapolis, MD, US",38.9784453,-76.4921829
Arlington,VA,US,NA,NA,NA,"Arlington, VA, US",38.8816208,-77.09098089999999
Asbury Park,NJ,US,6000,6000,6e3,"Asbury Park, NJ, US",40.2203907,-74.0120817
Asheville,NC,US,7000,10000,8500.0,"Asheville, NC, US",35.5950581,-82.5514869
Ashland,OR,US,6000,6000,6e3,"Ashland, OR, US",42.1945758,-122.7094767
Aspen,CO,US,1000,1000,1e3,"Aspen, CO, US",39.1910983,-106.8175387
Astoria,OR,US,100,1000,550.0,"Astoria, OR, US",40.7643574,-73.92346189999999
Athens,GA,US,700,5000,2850.0,"Athens, GA, US",33.9519347,-83.357567
Atlanta,GA,US,60000,60000,6e4,"Atlanta, GA, US",33.7489954,-84.3879824
Augusta,GA,US,600,600,600.0,"Augusta, GA, US",33.4734978,-82.0105148
Augusta,ME,US,10000,10000,1e4,"Augusta, ME, US",44.3106241,-69.7794897
Austin,TX,US,30000,50000,4e4,"Austin, TX, US",30.267153,-97.7430608
Avalon,CA,US,44,44,44.0,"Avalon, CA, US",33.3428193,-118.3282279
Bainbridge Island,WA,US,NA,NA,NA,"Bainbridge Island, WA, US",47.62487910000001,-122.5210008
Baltimore,MD,US,5000,5000,5e3,"Baltimore, MD, US",39.2903848,-76.6121893
Bandon,OR,US,70,70,70.0,"Bandon, OR, US",43.1189978,-124.408448
Barrow,AK,US,NA,NA,NA,"Barrow, AK, US",71.29055559999999,-156.7886111
Bayfield,WI,US,427,427,427.0,"Bayfield, WI, US",46.8107671,-90.81824
Beaumont,TX,US,300,300,300.0,"Beaumont, TX, US",30.080174,-94.1265562
Beaver,PA,US,NA,NA,NA,"Beaver, PA, US",40.6953437,-80.30478459999999
Bellingham,WA,US,5000,6000,5500.0,"Bellingham, WA, US",48.7519112,-122.4786854
Bemidji,MN,US,250,500,375.0,"Bemidji, MN, US",47.4875361,-94.8858492
Bend,OR,US,5000,5000,5e3,"Bend, OR, US",44.0581728,-121.3153096
Bentonville,AR,US,NA,NA,NA,"Bentonville, AR, US",36.3728538,-94.2088172
Berkeley,CA,US,NA,NA,NA,"Berkeley, CA, US",37.8715926,-122.272747
Bethel,AK,US,NA,NA,NA,"Bethel, AK, US",60.7922222,-161.7558333
Bethlehem,PA,US,500,500,500.0,"Bethlehem, PA, US",40.6259316,-75.37045789999999
Bettendorf,IA,US,800,800,800.0,"Bettendorf, IA, US",41.56084999999999,-90.48344
Beverly Hills,CA,US,NA,NA,NA,"Beverly Hills, CA, US",34.0736204,-118.4003563
Binghamton,NY,US,2000,3000,2500.0,"Binghamton, NY, US",42.09868669999999,-75.91797380000001
Birmingham,AL,US,5000,10000,7500.0,"Birmingham, AL, US",33.5206608,-86.80248999999999
Bishop,CA,US,600,600,600.0,"Bishop, CA, US",37.3614238,-118.3996636
Bismarck,ND,US,500,500,500.0,"Bismarck, ND, US",46.8083268,-100.7837392
Black Mountain,NC,US,400,400,400.0,"Black Mountain, NC, US",35.6178951,-82.3212302
Bluff,UT,US,NA,NA,NA,"Bluff, UT, US",37.2844448,-109.5517877
Bloomsburg,PA,US,NA,NA,NA,"Bloomsburg, PA, US",41.003698,-76.4549457
Boise,ID,US,5000,5000,5e3,"Boise, ID, US",43.6187102,-116.2146068
Borrego Springs,CA,US,NA,NA,NA,"Borrego Springs, CA, US",33.2558717,-116.375012
Boston,MA,US,175000,175000,175e3,"Boston, MA, US",42.3600825,-71.0588801
Bozeman,MT,US,NA,NA,NA,"Bozeman, MT, US",45.6769979,-111.0429339
Breen,CO,US,1,1,1.0,"Breen, CO, US",37.1925004,-108.0778507
Brighton,MI,US,300,300,300.0,"Brighton, MI, US",42.5294773,-83.7802214
Brattleboro,VT,US,250,250,250.0,"Brattleboro, VT, US",42.8509152,-72.5578678
Brookings,OR,US,NA,NA,NA,"Brookings, OR, US",44.3113573,-96.79838769999999
Brownsville,TX,US,300,300,300.0,"Brownsville, TX, US",25.9017472,-97.4974838
Brunswick,ME,US,300,300,300.0,"Brunswick, ME, US",43.9140162,-69.9669961
Buffalo,NY,US,2500,3000,2750.0,"Buffalo, NY, US",42.88644679999999,-78.8783689
Burbank,CA,US,300,300,300.0,"Burbank, CA, US",34.1808392,-118.3089661
Burns,OR,US,20,20,20.0,"Burns, OR, US",43.5862606,-119.0541032
Burnsville,NC,US,NA,NA,NA,"Burnsville, NC, US",35.9173357,-82.300961
Canton,NY,US,135,135,135.0,"Canton, NY, US",44.5956163,-75.1690942
Carbondale,CO,US,200,650,425.0,"Carbondale, CO, US",39.4022054,-107.2111628
Carbondale,IL,US,1000,1000,1e3,"Carbondale, IL, US",37.7272727,-89.2167501
Carmel,CA,US,NA,NA,NA,"Carmel, CA, US",36.5552386,-121.9232879
Casper,WY,US,700,1000,850.0,"Casper, WY, US",42.866632,-106.313081
Cedaredge,CO,US,NA,NA,NA,"Cedaredge, CO, US",38.9016487,-107.926454
Champaign,IL,US,5000,5000,5e3,"Champaign, IL, US",40.1164204,-88.2433829
Charleston,SC,US,2000,2000,2e3,"Charleston, SC, US",32.7764749,-79.93105120000001
Charleston,WV,US,3000,3000,3e3,"Charleston, WV, US",38.3498195,-81.6326234
Charlotte,NC,US,10000,10000,1e4,"Charlotte, NC, US",35.2270869,-80.8431267
Charlottesville,VA,US,2500,2500,2500.0,"Charlottesville, VA, US",38.0293059,-78.47667810000002
Chattanooga,TN,US,1000,3000,2e3,"Chattanooga, TN, US",35.0456297,-85.3096801
Chelan,WA,US,NA,NA,NA,"Chelan, WA, US",47.9445331,-120.6749068
Chesapeake Bay,MD,US,1,1,1.0,"Chesapeake Bay, MD, US",37.5213728,-76.1050092
Cheyenne,WY,US,1500,2000,1750.0,"Cheyenne, WY, US",41.1399814,-104.8202462
Chicago,IL,US,250000,250000,25e4,"Chicago, IL, US",41.8781136,-87.6297982
Chico,CA,US,3000,3000,3e3,"Chico, CA, US",39.7284944,-121.8374777
Chillicothe,OH,US,1000,1000,1e3,"Chillicothe, OH, US",39.3331197,-82.9824019
Cincinnati,OH,US,5000,10000,7500.0,"Cincinnati, OH, US",39.1031182,-84.5120196
Clare,MI,US,24,24,24.0,"Clare, MI, US",43.8194703,-84.7686281
Clemson,SC,US,500,500,500.0,"Clemson, SC, US",34.6834382,-82.8373654
Cleveland,OH,US,15000,15000,15e3,"Cleveland, OH, US",41.49932,-81.6943605
Cobb,CA,US,2,2,2.0,"Cobb, CA, US",38.8334625,-122.720961
Cobbleskill,NY,US,300,300,300.0,"Cobbleskill, NY, US",42.677853,-74.4854172
Cody,WY,US,500,500,500.0,"Cody, WY, US",44.52634219999999,-109.0565308
College Station,TX,US,NA,NA,NA,"College Station, TX, US",30.627977,-96.3344068
Colorado Springs,CO,US,7000,7000,7e3,"Colorado Springs, CO, US",38.8338816,-104.8213634
Clumbia,MO,US,3000,3604,3302.0,"Clumbia, MO, US",38.9517053,-92.3340724
Columbia,SC,US,2000,2000,2e3,"Columbia, SC, US",34.0007104,-81.0348144
Columbus,OH,US,NA,NA,NA,"Columbus, OH, US",39.9611755,-82.99879419999999
Compton,CA,US,NA,NA,NA,"Compton, CA, US",33.8958492,-118.2200712
Concord,NH,US,6000,6000,6e3,"Concord, NH, US",43.2081366,-71.5375718
Conover,WI,US,1,1,1.0,"Conover, WI, US",46.0546741,-89.25791389999999
Cooperstown,NY,US,200,200,200.0,"Cooperstown, NY, US",42.7006303,-74.92432099999999
Coos Bay,OR,US,200,200,200.0,"Coos Bay, OR, US",43.3665007,-124.2178903
Copper Harbor,MI,US,19,19,19.0,"Copper Harbor, MI, US",47.4683113,-87.8903203
Cordova,AK,US,NA,NA,NA,"Cordova, AK, US",60.5424087,-145.7525414
Corpus Christi,TX,US,24,24,24.0,"Corpus Christi, TX, US",27.8005828,-97.39638099999999
Cortez,CO,US,400,504,452.0,"Cortez, CO, US",37.3488827,-108.5859265
Corvallis,OR,US,100,100,100.0,"Corvallis, OR, US",44.5645659,-123.2620435
Crestone,CO,US,1,1,1.0,"Crestone, CO, US",37.9963881,-105.6997332
Dallas,TX,US,5000,8000,6500.0,"Dallas, TX, US",32.7766642,-96.79698789999999
Dayton,OH,US,3000,3000,3e3,"Dayton, OH, US",39.7589478,-84.1916069
Daytona Beach,FL,US,100,100,100.0,"Daytona Beach, FL, US",29.2108147,-81.0228331
Decorah,IA,US,NA,NA,NA,"Decorah, IA, US",43.30330559999999,-91.7857092
Delhi,NY,US,NA,NA,NA,"Delhi, NY, US",42.27814009999999,-74.91599459999999
Deming,NM,US,NA,NA,NA,"Deming, NM, US",32.2686981,-107.7586404
Denton,TX,US,2500,2800,2650.0,"Denton, TX, US",33.2148412,-97.13306829999999
Denver,CO,US,200000,200000,2e5,"Denver, CO, US",39.7392358,-104.990251
Des Moines,IA,US,26000,26000,26e3,"Des Moines, IA, US",41.6005448,-93.6091064
Detroit,MI,US,4000,4000,4e3,"Detroit, MI, US",42.331427,-83.0457538
Disability (online),,,NA,NA,NA,"Disability (online), , ",33.9727825,-117.6932291
Douglas-Saugatuck,MI,US,1200,2500,1850.0,"Douglas-Saugatuck, MI, US",42.6420639,-86.2076352
Doylestown,PA,US,1000,1000,1e3,"Doylestown, PA, US",40.3101063,-75.1298939
Driggs,ID,US,1000,1000,1e3,"Driggs, ID, US",43.7232522,-111.1113326
Dubuque,IA,US,400,400,400.0,"Dubuque, IA, US",42.5005583,-90.66457179999999
Duluth,MN,US,1500,1500,1500.0,"Duluth, MN, US",46.78667189999999,-92.1004852
Durango,CO,US,1000,1000,1e3,"Durango, CO, US",37.27528,-107.8800667
Eagle Pass,TX,US,NA,NA,NA,"Eagle Pass, TX, US",28.7091433,-100.4995214
East Haddam,CT,US,500,500,500.0,"East Haddam, CT, US",41.5034351,-72.4757767
Eastport,ME,US,70,70,70.0,"Eastport, ME, US",44.9061906,-66.98997849999999
Eastsound,WA,US,NA,NA,NA,"Eastsound, WA, US",48.696654,-122.9061069
Eau Claire,WI,US,250,250,250.0,"Eau Claire, WI, US",44.7683909,-91.28910359999999
El Paso,TX,US,1000,1000,1e3,"El Paso, TX, US",31.7618778,-106.4850217
Elgin,IL,US,200,1000,600.0,"Elgin, IL, US",42.0354084,-88.2825668
Elkton,OR,US,NA,NA,NA,"Elkton, OR, US",39.60677889999999,-75.83327179999999
Ellsworth,ME,US,60,60,60.0,"Ellsworth, ME, US",44.5434095,-68.4194641
Ely,MN,US,50,50,50.0,"Ely, MN, US",47.9032372,-91.8670873
Ephrata,WA,US,250,250,250.0,"Ephrata, WA, US",47.3176385,-119.5536491
Erie,PA,US,2500,2500,2500.0,"Erie, PA, US",42.12922409999999,-80.085059
Eugene,OR,US,7000,10000,8500.0,"Eugene, OR, US",44.0520691,-123.0867536
Eureka,CA,US,2000,80000,41e3,"Eureka, CA, US",40.8020712,-124.1636729
Fairbanks,AK,US,1000,1000,1e3,"Fairbanks, AK, US",64.8377778,-147.7163889
Fairfield,IA,US,200,200,200.0,"Fairfield, IA, US",41.00761139999999,-91.9636914
Fairmont,WY,US,95,95,95.0,"Fairmont, WY, US",33.7676528,-117.8282531
Falmouth,MA,US,1000,1000,1e3,"Falmouth, MA, US",41.5532208,-70.60858859999999
Fargo,ND,US,1000,3000,2e3,"Fargo, ND, US",46.8771863,-96.7898034
Fayetteville,AR,US,1000,1000,1e3,"Fayetteville, AR, US",36.0625795,-94.1574263
Fernandina Beach,FL,US,1000,1300,1150.0,"Fernandina Beach, FL, US",30.6696818,-81.46259189999999
Flagstaff,AZ,US,1200,1200,1200.0,"Flagstaff, AZ, US",35.1982836,-111.651302
Florence,OR,US,NA,NA,NA,"Florence, OR, US",34.1954331,-79.7625625
Floyd,VA,US,200,200,200.0,"Floyd, VA, US",36.9112443,-80.3200502
Forks,WA,US,45,45,45.0,"Forks, WA, US",47.950355,-124.3854867
Fort Wayne,IN,US,1000,1000,1e3,"Fort Wayne, IN, US",41.079273,-85.1393513
Fort Bragg,CA,US,NA,NA,NA,"Fort Bragg, CA, US",39.445723,-123.8052935
Fort Sumner,NM,US,NA,NA,NA,"Fort Sumner, NM, US",34.4717332,-104.2455304
Fort Worth,TX,US,5000,6000,5500.0,"Fort Worth, TX, US",32.7554883,-97.3307658
Francestown,NH,US,134,134,134.0,"Francestown, NH, US",42.98758249999999,-71.8125769
Frederick,MD,US,1000,1000,1e3,"Frederick, MD, US",39.41426879999999,-77.4105409
Fredonia,NY,US,NA,NA,NA,"Fredonia, NY, US",42.4400576,-79.3317105
Fresno,CA,US,2000,2000,2e3,"Fresno, CA, US",36.7468422,-119.7725868
Friday Harbor,WA,US,1500,1500,1500.0,"Friday Harbor, WA, US",48.5342662,-123.0171242
Gainesville,FL,US,1000,1000,1e3,"Gainesville, FL, US",29.6516344,-82.32482619999999
Galesburg,IL,US,100,100,100.0,"Galesburg, IL, US",40.94781580000001,-90.3712395
Gila,NM,US,1,1,1.0,"Gila, NM, US",32.9646574,-108.5775687
Glen Falls,NY,US,1000,1000,1e3,"Glen Falls, NY, US",43.3095164,-73.6440058
Glenwood Springs,CO,US,100,100,100.0,"Glenwood Springs, CO, US",39.5505376,-107.3247762
Gold Canyon,AZ,US,NA,NA,NA,"Gold Canyon, AZ, US",33.3593407,-111.4500302
Gouldsboro,ME,US,25,25,25.0,"Gouldsboro, ME, US",44.47852,-68.039543
Grand Forks,ND,US,304,304,304.0,"Grand Forks, ND, US",47.9252568,-97.0328547
Grand Junction,CO,US,4500,5000,4750.0,"Grand Junction, CO, US",39.0638705,-108.5506486
Grand Rapids,MI,US,300,300,300.0,"Grand Rapids, MI, US",42.9633599,-85.6680863
Green Bay,WI,US,200,200,200.0,"Green Bay, WI, US",44.51915899999999,-88.019826
Green Valley,AZ,US,400,400,400.0,"Green Valley, AZ, US",31.8542511,-110.9937019
Greenfield,MA,US,1000,2000,1500.0,"Greenfield, MA, US",42.587915,-72.5994104
Greensboro,NC,US,3000,6000,4500.0,"Greensboro, NC, US",36.0726354,-79.7919754
Greenville,SC,US,2000,2000,2e3,"Greenville, SC, US",34.85261759999999,-82.3940104
Greenwood,IN,US,NA,NA,NA,"Greenwood, IN, US",39.6136578,-86.10665259999999
Gross Pointe,MI,US,NA,NA,NA,"Gross Pointe, MI, US",42.3861485,-82.9118591
Gualala,CA,US,NA,NA,NA,"Gualala, CA, US",38.7722996,-123.5340084
Gulfport,MS,US,300,300,300.0,"Gulfport, MS, US",30.3674198,-89.0928155
Gustavus,AK,US,105,105,105.0,"Gustavus, AK, US",58.4133333,-135.7369444
Haines,AK,US,150,170,160.0,"Haines, AK, US",59.2358333,-135.445
Halfway,OR,US,NA,NA,NA,"Halfway, OR, US",44.880715,-117.1146173
Harrisburg,PA,US,1100,1100,1100.0,"Harrisburg, PA, US",40.2731911,-76.8867008
Hartford,CT,US,10000,10000,1e4,"Hartford, CT, US",41.76371109999999,-72.6850932
Hattiesburg,MS,US,NA,NA,NA,"Hattiesburg, MS, US",31.3271189,-89.29033919999999
Helena,AR,US,2,2,2.0,"Helena, AR, US",34.5291,-90.58999999999999
Helena,MT,US,10000,10000,1e4,"Helena, MT, US",46.5883707,-112.0245054
Hemet,CA,US,NA,NA,NA,"Hemet, CA, US",33.7475203,-116.9719684
Hilo,HI,US,1500,2200,1850.0,"Hilo, HI, US",19.7070942,-155.0884869
Hillsborough,NC,US,200,200,200.0,"Hillsborough, NC, US",36.0754183,-79.0997347
Homer,AK,US,900,900,900.0,"Homer, AK, US",59.64250000000001,-151.5483333
Honolulu,HI,US,8000,8000,8e3,"Honolulu, HI, US",21.3069444,-157.8583333
Houghton,MI,US,500,500,500.0,"Houghton, MI, US",47.12113309999999,-88.5694182
Houston,TX,US,20000,22000,21e3,"Houston, TX, US",29.7604267,-95.3698028
Hudson,NY,US,1500,3000,2250.0,"Hudson, NY, US",42.2528649,-73.790959
Idaho Falls,ID,US,500,500,500.0,"Idaho Falls, ID, US",43.49165139999999,-112.0339645
Indiana,PA,US,100,200,150.0,"Indiana, PA, US",40.6214551,-79.15253489999999
Indianapolis,IN,US,4000,10000,7e3,"Indianapolis, IN, US",39.768403,-86.158068
Inverness,CA,US,5,5,5.0,"Inverness, CA, US",38.1010337,-122.8569377
Iowa City,IA,US,1000,1000,1e3,"Iowa City, IA, US",41.6611277,-91.5301683
Ithaca,NY,US,10000,10000,1e4,"Ithaca, NY, US",42.4439614,-76.5018807
Jackson,NH,US,NA,NA,NA,"Jackson, NH, US",44.1462613,-71.1850996
Jackson,MS,US,750,5000,2875.0,"Jackson, MS, US",32.2987573,-90.1848103
Jackson Hole,WY,US,1000,1000,1e3,"Jackson Hole, WY, US",43.4799291,-110.7624282
Jacksonville,FL,US,2000,3000,2500.0,"Jacksonville, FL, US",30.3321838,-81.65565099999999
Jerome,AZ,US,NA,NA,NA,"Jerome, AZ, US",34.7489107,-112.1137716
Jonesborough,TN,US,1000,1000,1e3,"Jonesborough, TN, US",36.2942722,-82.4734787
Joseph,OR,US,310,310,310.0,"Joseph, OR, US",45.3543187,-117.2296126
June Lake,CA,US,NA,NA,NA,"June Lake, CA, US",37.7797825,-119.0754232
Juneau,AK,US,1000,1000,1e3,"Juneau, AK, US",58.301944399999996,-134.4197222
Kahului,HI,US,NA,NA,NA,"Kahului, HI, US",20.8893351,-156.4729469
Kalamazoo,MI,US,1000,1000,1e3,"Kalamazoo, MI, US",42.2917069,-85.5872286
Kanab,UT,US,175,175,175.0,"Kanab, UT, US",37.0474855,-112.5263145
